mode;alpha;beta;evaporation;group_size;elite_weight;best_value;best_iteration
AC;0.75;5.0;0.5;20;1.0;1005989;38
AC;0.75;5.0;0.5;20;1.0;1006071;178
AC;0.75;5.0;0.5;20;1.0;1006149;187
AC;0.75;5.0;0.5;50;1.0;1006033;28
AC;0.75;5.0;0.5;50;1.0;1006123;35
AC;0.75;5.0;0.3;100;1.0;1006079;152
AC;0.75;5.0;0.5;50;1.0;1006053;23
AC;0.75;5.0;0.5;50;1.0;1005855;52
AC;0.75;5.0;0.5;50;1.0;1005923;44
AC;0.75;5.0;0.5;50;1.0;1006417;67
AC;0.75;5.0;0.5;50;1.0;1007236;169
AC;0.75;5.0;0.5;100;1.0;1005958;34
AC;0.75;5.0;0.8;20;1.0;1006121;48
AC;0.75;5.0;0.5;100;1.0;1006236;66
AC;0.75;5.0;0.5;100;1.0;1006348;57
AC;0.75;5.0;0.5;100;1.0;1006166;76
AC;0.75;5.0;0.5;100;1.0;1006124;54
AC;0.75;5.0;0.8;20;1.0;1006241;20
AC;0.75;5.0;0.8;20;1.0;1006455;47
AC;0.75;5.0;0.8;20;1.0;1006204;90
AC;0.75;5.0;0.8;20;1.0;1006500;80
AC;0.75;5.0;0.8;20;1.0;1006132;82
AC;0.75;5.0;0.8;20;1.0;1006266;122
AC;0.75;5.0;0.5;100;1.0;1006093;96
AC;0.75;5.0;0.8;50;1.0;1005964;20
AC;0.75;5.0;0.5;100;1.0;1006345;139
AC;0.75;5.0;0.8;50;1.0;1006535;53
AC;0.75;5.0;0.8;50;1.0;1006413;85
AC;0.75;5.0;0.8;50;1.0;1006598;90
AC;0.75;5.0;0.8;50;1.0;1006271;31
AC;0.75;5.0;0.8;50;1.0;1006761;118
AC;0.75;5.0;0.8;50;1.0;1006531;118
AC;0.75;5.0;0.8;100;1.0;1006357;36
AC;0.75;10.0;0.3;20;1.0;1006591;24
AC;0.75;10.0;0.3;20;1.0;1006536;33
AC;0.75;5.0;0.8;100;1.0;1006250;51
AC;0.75;5.0;0.8;100;1.0;1006119;76
AC;0.75;10.0;0.3;20;1.0;1006973;18
AC;0.75;5.0;0.8;100;1.0;1006509;94
AC;0.75;5.0;0.8;100;1.0;1006230;56
AC;0.75;10.0;0.3;20;1.0;1006602;27
AC;0.75;5.0;0.8;100;1.0;1006230;73
AC;0.75;10.0;0.3;20;1.0;1006886;48
